1.04,0.1016,0.22,0.09,0.2959,0,0.29,-21.02,108.93,41.12,138.07
1.05,0.1030,0.22,0.09,0.2925,0,0.28,-20.7,109.74,48.23,124.92
1.07,0.1044,0.22,0.1,0.2891,0,0.28,-20.35,110.47,54.75,112.74
1.09,0.1057,0.22,0.1,0.2857,0,0.28,-19.96,111.13,60.62,101.72
1.11,0.1071,0.22,0.1,0.2823,0,0.28,-19.53,111.73,65.78,92
1.12,0.1084,0.22,0.1,0.2789,0,0.27,-19.07,112.27,70.22,83.68
1.14,0.1098,0.22,0.1,0.2755,0,0.27,-18.59,112.77,73.92,76.83
1.16,0.1112,0.22,0.11,0.2721,0,0.27,-18.09,113.23,76.9,71.49
1.17,0.1125,0.22,0.11,0.2687,0,0.26,-17.58,113.67,79.18,67.63
1.19,0.1139,0.22,0.11,0.2653,0,0.26,-17.05,114.1,80.81,65.23
1.21,0.1152,0.22,0.11,0.2619,0,0.26,-16.52,114.51,81.84,64.21
1.22,0.1166,0.22,0.11,0.2585,0,0.26,-15.99,114.93,82.36,64.47
1.24,0.1180,0.22,0.12,0.2551,0,0.25,-15.45,115.36,82.42,65.89
1.26,0.1193,0.22,0.12,0.2517,0,0.25,-14.92,115.8,82.13,68.33
1.27,0.1207,0.22,0.12,0.2483,0,0.25,-14.39,116.27,81.57,71.62
1.29,0.1220,0.22,0.12,0.2449,0,0.25,-13.86,116.76,80.82,75.61
1.31,0.1234,0.22,0.12,0.2415,0,0.24,-13.35,117.28,80,80.11
1.33,0.1248,0.22,0.13,0.2381,0,0.24,-12.83,117.83,79.17,84.95
1.34,0.1261,0.22,0.13,0.2347,0,0.24,-12.32,118.42,78.43,89.96
1.36,0.1275,0.22,0.13,0.2313,0,0.23,-11.82,119.03,77.86,94.97
1.38,0.1288,0.22,0.13,0.2279,0,0.23,-11.31,119.68,77.53,99.83
1.39,0.1302,0.22,0.13,0.2245,0,0.23,-10.81,120.36,77.49,104.4
1.41,0.1316,0.22,0.13,0.2211,0,0.22,-10.3,121.06,77.81,108.54
1.43,0.1329,0.22,0.13,0.2177,0,0.22,-9.79,121.79,78.52,112.15
1.44,0.1343,0.22,0.14,0.2143,0,0.22,-9.28,122.54,79.65,115.14
1.46,0.1356,0.22,0.14,0.2109,0,0.21,-8.75,123.3,81.21,117.44
1.48,0.1370,0.22,0.14,0.2075,0,0.21,-8.21,124.07,83.22,118.99
1.5,0.1384,0.22,0.14,0.2041,0,0.21,-7.65,124.85,85.67,119.78
1.51,0.1397,0.22,0.14,0.2007,0,0.2,-7.08,125.63,88.53,119.79
1.53,0.1411,0.22,0.14,0.1973,0,0.2,-6.48,126.4,91.79,119.02
1.55,0.1424,0.22,0.14,0.1939,0,0.19,-5.86,127.17,95.41,117.5
1.56,0.1438,0.22,0.14,0.1905,0,0.19,-5.22,127.91,99.34,115.27
1.58,0.1452,0.22,0.14,0.1871,0,0.19,-4.55,128.64,103.53,112.37
1.6,0.1465,0.22,0.14,0.1837,0,0.18,-3.84,129.35,107.94,108.88
1.61,0.1479,0.22,0.14,0.1803,0,0.18,-3.11,130.03,112.49,104.85
1.63,0.1493,0.22,0.14,0.1769,0,0.18,-2.35,130.68,117.13,100.37
1.65,0.1506,0.22,0.15,0.1735,0,0.17,-1.56,131.3,121.8,95.52
1.67,0.1520,0.22,0.15,0.1701,0,0.17,-0.74,131.89,126.44,90.37
1.68,0.1533,0.22,0.15,0.1667,0,0.16,0.11,132.44,130.98,85.01
